-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2024 through 08/01/2024 
Location: Latitude  27.7178   Longitude 85.3112 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 776.63 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M        MERRA-2 Temperature at 2 Meters (C) 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
QV2M       MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
PS         MERRA-2 Surface Pressure (kPa) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M      MERRA-2 Wind Direction at 10 Meters (Degrees) 
PSC        MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
WSC        MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 20-m broadleaf-deciduous trees (75% coverage) (vegtype_2) 
-END HEADER-
YEAR,MO,DY,HR,T2M,T2MDEW,QV2M,RH2M,PS,WS10M,WD10M,PSC,WSC
2024,5,3,8,29.35,-4.66,2.99,10.75,92.02,1.59,256.65,93.72,1.9
2024,5,3,9,32.05,-4.32,3.05,9.44,92.07,3.59,241.93,93.74,3.43
2024,5,3,10,33.8,-3.96,3.17,8.81,92.07,4.3,230.38,93.74,3.95
2024,5,3,11,35.12,-3.74,3.17,8.31,92.02,4.52,222.69,93.68,4.13
2024,5,3,12,35.88,-3.62,3.23,8.06,91.97,4.98,220.23,93.62,4.67
2024,5,3,13,36.22,-3.45,3.3,8.0,91.93,5.45,224.07,93.59,5.26
2024,5,3,14,35.97,-3.2,3.36,8.31,91.9,5.26,227.35,93.55,5.18
2024,5,3,15,35.24,-2.95,3.42,8.81,91.88,4.69,232.31,93.54,4.72
2024,5,3,16,34.14,-2.64,3.48,9.56,91.87,3.99,235.53,93.53,4.12
2024,5,3,17,32.45,-1.25,3.85,11.56,91.89,3.0,236.68,93.56,3.64
2024,5,3,18,28.62,1.36,4.58,17.25,91.98,2.08,237.45,93.67,3.32
2024,5,3,19,27.16,0.49,4.33,17.62,92.08,1.87,242.58,93.79,2.76
2024,5,3,20,27.05,0.16,4.21,17.31,92.18,1.36,254.69,93.89,2.04
2024,5,3,21,27.08,-0.16,4.09,16.94,92.27,0.72,277.51,93.98,1.08
2024,5,3,22,26.63,-0.13,4.09,17.38,92.29,0.53,12.8,94.01,0.6
2024,5,3,23,24.96,-0.52,3.97,18.69,92.28,1.41,45.22,94.0,1.79
2024,5,4,0,23.18,-0.18,4.09,21.31,92.22,2.16,60.84,93.95,2.95
2024,5,4,1,22.4,0.17,4.21,22.94,92.16,2.41,61.27,93.9,3.43
2024,5,4,2,22.37,0.32,4.27,23.25,92.15,2.33,61.54,93.88,3.35
2024,5,4,3,22.05,0.36,4.27,23.81,92.11,2.42,59.54,93.85,3.58
2024,5,4,4,21.92,0.32,4.27,23.94,92.06,2.54,61.15,93.79,3.93
2024,5,4,5,22.05,0.4,4.27,23.88,92.06,2.47,61.49,93.79,3.82
2024,5,4,6,23.03,1.08,4.52,23.62,92.12,2.24,62.09,93.85,3.5
2024,5,4,7,27.17,0.34,4.27,17.44,92.2,1.96,76.41,93.91,2.31
2024,5,4,8,30.2,-0.7,3.97,13.62,92.27,1.98,143.99,93.96,2.04
2024,5,4,9,32.22,-0.54,4.03,12.31,92.3,2.54,180.0,93.98,2.36
2024,5,4,10,33.49,-0.31,4.09,11.69,92.28,3.26,191.61,93.95,3.02
2024,5,4,11,33.78,-0.11,4.15,11.62,92.21,3.56,197.24,93.89,3.36
2024,5,4,12,33.77,0.05,4.21,11.81,92.13,3.43,203.94,93.8,3.24
2024,5,4,13,34.55,0.26,4.27,11.44,92.04,3.3,206.44,93.7,3.11
2024,5,4,14,34.46,0.44,4.33,11.69,91.93,3.3,210.08,93.6,3.16
2024,5,4,15,33.21,0.58,4.39,12.62,91.87,3.1,213.29,93.54,3.08
2024,5,4,16,32.23,0.58,4.33,13.31,91.84,2.8,217.06,93.51,2.89
2024,5,4,17,31.26,1.05,4.52,14.5,91.85,2.26,216.28,93.53,2.65
2024,5,4,18,28.19,2.84,5.13,19.69,91.89,1.66,207.77,93.58,2.51
2024,5,4,19,26.94,1.96,4.82,19.88,91.95,1.51,192.24,93.65,2.09
2024,5,4,20,26.33,1.74,4.7,20.31,92.0,1.25,173.19,93.71,1.74
2024,5,4,21,25.83,1.47,4.64,20.5,92.03,1.01,151.85,93.74,1.39
2024,5,4,22,25.01,1.37,4.58,21.38,92.03,0.94,118.69,93.74,1.27
2024,5,4,23,24.01,1.37,4.58,22.69,91.99,1.19,91.88,93.72,1.56
2024,5,5,0,23.05,1.42,4.64,24.19,91.94,1.43,77.1,93.67,1.87
2024,5,5,1,22.41,1.33,4.58,25.0,91.89,1.54,70.46,93.62,2.0
2024,5,5,2,22.03,1.39,4.64,25.69,91.84,1.52,66.99,93.58,1.96
2024,5,5,3,21.49,1.48,4.64,26.75,91.83,1.69,64.5,93.57,2.22
2024,5,5,4,20.54,1.48,4.64,28.38,91.82,2.12,60.12,93.56,2.93
2024,5,5,5,19.67,1.49,4.7,30.0,91.82,2.47,58.07,93.56,3.58
2024,5,5,6,21.03,2.13,4.88,28.81,91.84,2.4,58.84,93.57,4.01
2024,5,5,7,25.52,1.66,4.7,21.19,91.85,2.81,76.16,93.57,3.08
2024,5,5,8,28.71,1.32,4.58,17.12,91.88,2.42,128.83,93.57,2.42
2024,5,5,9,31.07,1.35,4.58,15.0,91.88,2.59,167.26,93.56,2.31
2024,5,5,10,32.83,1.87,4.76,14.12,91.86,3.1,193.27,93.53,2.75
2024,5,5,11,34.1,2.37,4.94,13.62,91.82,3.68,207.06,93.48,3.37
2024,5,5,12,34.98,2.66,5.07,13.25,91.74,3.96,215.35,93.39,3.74
2024,5,5,13,35.41,2.84,5.13,13.12,91.67,3.86,222.38,93.32,3.7
2024,5,5,14,35.44,2.98,5.19,13.19,91.59,3.6,229.67,93.24,3.54
2024,5,5,15,34.93,3.05,5.19,13.62,91.56,3.37,236.16,93.22,3.44
2024,5,5,16,34.1,3.01,5.19,14.25,91.55,3.07,241.09,93.21,3.28
2024,5,5,17,32.76,3.1,5.25,15.44,91.58,2.51,242.8,93.25,2.83
2024,5,5,18,30.27,4.84,5.92,20.06,91.65,1.12,225.57,93.33,1.62
2024,5,5,19,28.88,3.99,5.55,20.5,91.73,0.67,138.31,93.42,0.86
2024,5,5,20,27.36,3.94,5.55,22.31,91.79,1.41,86.82,93.49,1.93
2024,5,5,21,25.8,4.03,5.55,24.69,91.86,2.12,71.3,93.57,3.12
2024,5,5,22,24.58,4.26,5.68,27.0,91.9,2.51,64.31,93.62,3.88
2024,5,5,23,23.68,4.33,5.68,28.69,91.9,2.68,60.15,93.62,4.3
2024,5,6,0,23.1,4.37,5.74,29.81,91.89,2.77,57.57,93.62,4.51
2024,5,6,1,22.6,4.39,5.74,30.75,91.86,2.79,56.31,93.59,4.53
2024,5,6,2,22.11,4.37,5.74,31.62,91.85,2.79,55.02,93.58,4.52
2024,5,6,3,21.79,4.29,5.68,32.06,91.87,2.83,56.7,93.6,4.64
2024,5,6,4,21.48,4.14,5.62,32.38,91.9,2.8,60.43,93.64,4.61
2024,5,6,5,21.26,4.0,5.55,32.44,91.96,2.75,63.73,93.7,4.53
2024,5,6,6,23.05,4.3,5.68,29.75,92.05,2.49,67.06,93.78,4.28
2024,5,6,7,27.12,4.12,5.62,22.94,92.12,3.14,92.99,93.82,3.69
2024,5,6,8,29.64,4.91,5.92,20.94,92.18,3.55,128.21,93.87,3.76
2024,5,6,9,31.52,5.87,6.29,20.06,92.2,3.35,154.15,93.88,3.2
2024,5,6,10,33.17,6.57,6.59,19.19,92.17,3.5,177.18,93.84,3.06
2024,5,6,11,34.44,6.98,6.77,18.38,92.13,3.99,191.4,93.8,3.51
2024,5,6,12,35.24,7.22,6.9,17.81,92.06,4.44,198.05,93.72,4.01
2024,5,6,13,35.6,7.44,7.02,17.75,91.99,4.64,202.37,93.65,4.3
2024,5,6,14,35.47,7.69,7.14,18.19,91.91,4.57,206.52,93.57,4.34
2024,5,6,15,34.75,7.88,7.26,19.19,91.87,4.29,205.02,93.53,4.19
2024,5,6,16,33.72,7.94,7.26,20.38,91.88,3.81,201.3,93.55,3.83
2024,5,6,17,32.35,8.0,7.32,22.19,91.93,3.27,195.1,93.61,3.44
2024,5,6,18,29.83,8.82,7.75,27.12,92.0,1.98,180.9,93.69,3.24
2024,5,6,19,27.46,9.08,7.87,31.69,92.1,2.01,155.63,93.8,3.33
2024,5,6,20,26.58,9.3,8.0,33.88,92.18,2.05,133.14,93.89,3.56
2024,5,6,21,25.71,9.54,8.12,36.25,92.25,2.08,117.72,93.97,3.64
2024,5,6,22,24.98,9.75,8.24,38.38,92.27,2.11,109.44,94.0,3.61
2024,5,6,23,24.28,9.95,8.36,40.5,92.27,2.14,104.34,94.0,3.6
2024,5,7,0,23.71,10.21,8.48,42.56,92.26,2.18,101.15,93.99,3.62
2024,5,7,1,23.19,10.55,8.67,44.88,92.24,2.17,96.82,93.97,3.54
2024,5,7,2,22.68,10.8,8.79,47.06,92.24,2.13,86.42,93.97,3.43
2024,5,7,3,22.3,10.93,8.85,48.44,92.24,2.16,81.69,93.98,3.56
2024,5,7,4,22.11,11.15,8.97,49.75,92.29,2.12,85.34,94.03,3.53
2024,5,7,5,21.85,12.06,9.52,53.56,92.36,2.11,99.15,94.11,3.78
2024,5,7,6,23.43,13.31,10.31,52.81,92.43,2.37,108.67,94.16,3.97
2024,5,7,7,25.56,14.6,11.23,50.56,92.49,4.02,119.61,94.21,4.73
2024,5,7,8,27.24,15.01,11.54,47.12,92.53,4.04,131.95,94.24,4.38
2024,5,7,9,28.9,14.79,11.41,42.25,92.55,3.83,147.31,94.25,3.88
2024,5,7,10,30.18,14.47,11.17,38.56,92.55,3.71,161.22,94.24,3.57
2024,5,7,11,31.21,14.15,10.99,35.62,92.5,3.69,172.09,94.19,3.49
2024,5,7,12,31.87,13.86,10.8,33.69,92.44,3.83,183.16,94.13,3.68
2024,5,7,13,32.12,13.54,10.56,32.5,92.37,3.97,191.69,94.06,3.94
2024,5,7,14,31.98,13.19,10.31,32.06,92.31,4.03,199.0,93.99,4.17
2024,5,7,15,31.31,12.9,10.13,32.69,92.25,3.91,199.23,93.94,4.21
2024,5,7,16,30.52,12.8,10.07,33.94,92.21,3.53,194.99,93.9,3.9
2024,5,7,17,29.41,12.9,10.13,36.44,92.22,2.6,187.08,93.92,2.95
2024,5,7,18,27.83,13.69,10.68,41.94,92.29,1.28,152.34,94.0,1.82
2024,5,7,19,26.1,13.86,10.74,46.75,92.37,1.63,99.1,94.09,2.59
2024,5,7,20,25.33,13.96,10.8,49.19,92.45,1.96,87.25,94.18,3.59
2024,5,7,21,24.75,14.2,10.93,51.69,92.51,2.02,78.6,94.24,3.83
2024,5,7,22,24.12,14.48,11.11,54.62,92.56,2.16,69.01,94.29,3.96
2024,5,7,23,23.54,14.73,11.29,57.38,92.55,2.44,60.73,94.29,4.1
2024,5,8,0,22.84,14.92,11.41,60.56,92.53,2.47,55.45,94.27,4.03
2024,5,8,1,22.26,15.08,11.54,63.38,92.49,2.38,54.9,94.24,3.92
2024,5,8,2,21.77,15.24,11.66,65.94,92.46,2.26,58.29,94.2,3.76
2024,5,8,3,21.33,15.31,11.72,68.12,92.44,2.13,66.44,94.19,3.66
2024,5,8,4,21.08,15.3,11.72,69.19,92.44,1.96,71.93,94.19,3.55
2024,5,8,5,20.8,15.25,11.66,70.12,92.47,1.79,71.64,94.22,3.34
2024,5,8,6,21.91,15.25,11.66,65.44,92.52,2.29,73.11,94.26,3.03
2024,5,8,7,23.83,15.41,11.78,58.94,92.56,2.73,104.23,94.3,3.17
2024,5,8,8,25.62,15.51,11.9,53.38,92.59,2.89,129.07,94.31,3.17
2024,5,8,9,27.18,15.36,11.78,48.31,92.59,3.34,139.75,94.3,3.53
2024,5,8,10,28.39,15.12,11.66,44.38,92.54,4.01,145.72,94.25,4.17
2024,5,8,11,29.13,14.82,11.41,41.81,92.49,4.52,149.94,94.19,4.69
2024,5,8,12,28.95,14.85,11.47,42.31,92.43,4.9,152.05,94.13,5.18
2024,5,8,13,28.47,15.12,11.66,44.25,92.38,5.02,149.65,94.09,5.44
2024,5,8,14,27.92,15.36,11.84,46.25,92.31,4.98,144.84,94.02,5.51
2024,5,8,15,27.27,15.51,11.96,48.44,92.27,4.83,141.44,93.98,5.39
2024,5,8,16,26.47,15.64,12.02,51.19,92.24,4.44,136.93,93.95,5.02
2024,5,8,17,25.43,15.93,12.21,55.38,92.26,3.73,127.59,93.98,4.32
2024,5,8,18,24.3,16.36,12.57,60.81,92.31,2.9,109.85,94.04,3.76
2024,5,8,19,23.3,16.67,12.82,65.81,92.41,2.88,89.38,94.14,3.98
2024,5,8,20,22.66,16.94,13.0,69.69,92.5,3.43,79.23,94.24,4.33
2024,5,8,21,22.05,17.08,13.12,73.06,92.57,3.74,72.74,94.31,4.66
2024,5,8,22,21.49,17.08,13.12,75.62,92.55,3.91,68.45,94.3,4.81
2024,5,8,23,21.03,16.99,13.06,77.44,92.53,3.96,65.15,94.28,4.81
2024,5,9,0,20.65,16.88,13.0,78.75,92.48,3.8,61.91,94.23,4.7
2024,5,9,1,20.12,16.8,12.94,81.0,92.44,3.63,57.2,94.2,4.62
2024,5,9,2,19.72,16.58,12.82,82.0,92.41,3.54,54.8,94.17,4.59
2024,5,9,3,19.48,16.27,12.51,81.56,92.4,3.42,58.27,94.16,4.5
2024,5,9,4,19.08,16.15,12.45,83.0,92.41,3.37,54.91,94.17,4.45
2024,5,9,5,18.61,15.98,12.33,84.56,92.45,3.62,50.88,94.21,4.65
2024,5,9,6,18.57,15.92,12.27,84.56,92.5,3.82,50.15,94.26,4.57
2024,5,9,7,19.01,15.81,12.15,81.56,92.54,3.94,50.88,94.3,4.41
2024,5,9,8,19.48,16.13,12.39,80.81,92.57,3.84,54.95,94.33,4.24
2024,5,9,9,19.97,16.55,12.76,80.5,92.59,3.62,59.67,94.35,3.98
2024,5,9,10,20.44,16.94,13.06,80.12,92.57,3.21,67.24,94.32,3.59
2024,5,9,11,20.88,17.23,13.31,79.38,92.52,2.68,83.31,94.28,3.04
2024,5,9,12,21.23,17.53,13.55,79.19,92.47,2.4,103.54,94.21,2.75
2024,5,9,13,21.46,17.83,13.85,79.56,92.41,2.35,115.63,94.16,2.69
2024,5,9,14,21.54,18.06,14.04,80.38,92.36,2.36,111.13,94.1,2.69
2024,5,9,15,21.46,18.26,14.22,81.81,92.3,2.43,102.61,94.04,2.8
2024,5,9,16,21.29,18.5,14.47,84.0,92.29,2.41,95.21,94.04,2.83
2024,5,9,17,21.0,18.81,14.77,87.38,92.32,2.12,89.37,94.06,2.7
2024,5,9,18,20.58,19.24,15.2,92.12,92.37,1.46,88.16,94.12,2.44
2024,5,9,19,20.29,19.08,15.01,92.88,92.44,1.29,82.7,94.2,2.34
2024,5,9,20,20.2,18.6,14.59,90.62,92.5,1.35,75.56,94.25,2.36
2024,5,9,21,20.15,18.06,14.04,87.75,92.53,1.37,71.77,94.28,2.24
2024,5,9,22,20.08,17.48,13.55,84.88,92.53,1.32,67.69,94.29,2.05
2024,5,9,23,20.14,17.05,13.18,82.25,92.52,1.1,54.84,94.28,1.8
2024,5,10,0,19.8,16.82,13.0,82.81,92.49,1.01,52.24,94.25,1.74
2024,5,10,1,19.41,16.8,13.0,84.81,92.44,1.04,56.07,94.2,1.82
2024,5,10,2,19.09,16.73,12.94,86.12,92.39,1.04,64.2,94.15,1.84
2024,5,10,3,18.85,16.62,12.88,86.94,92.36,1.14,69.95,94.12,2.09
2024,5,10,4,18.67,16.39,12.63,86.56,92.38,1.36,72.92,94.14,2.58
2024,5,10,5,18.65,16.05,12.39,84.75,92.42,1.53,74.62,94.19,2.99
2024,5,10,6,19.53,16.32,12.57,81.56,92.48,1.8,72.35,94.24,3.1
2024,5,10,7,21.09,15.87,12.15,71.69,92.52,2.68,84.81,94.27,3.44
2024,5,10,8,22.93,15.6,11.9,62.94,92.57,3.22,102.62,94.31,3.82
2024,5,10,9,24.71,15.8,12.08,57.25,92.58,3.51,115.02,94.31,4.01
2024,5,10,10,26.37,16.12,12.33,53.0,92.57,3.75,126.61,94.29,4.14
2024,5,10,11,27.72,16.4,12.57,49.94,92.5,3.81,137.24,94.21,4.1
2024,5,10,12,28.72,16.57,12.76,47.69,92.4,3.59,145.55,94.11,3.77
2024,5,10,13,29.26,16.58,12.82,46.31,92.31,3.31,149.8,94.0,3.43
2024,5,10,14,29.4,16.48,12.76,45.62,92.22,3.04,149.62,93.92,3.17
2024,5,10,15,29.16,16.34,12.63,45.88,92.16,2.63,146.5,93.86,2.76
2024,5,10,16,28.48,16.28,12.57,47.5,92.14,2.08,143.09,93.84,2.22
2024,5,10,17,27.52,16.32,12.57,50.25,92.13,1.83,135.17,93.84,2.08
2024,5,10,18,25.71,17.83,13.79,61.31,92.18,1.31,133.79,93.9,2.12
2024,5,10,19,24.28,17.64,13.61,65.94,92.28,1.09,124.15,94.01,1.64
2024,5,10,20,23.82,17.31,13.31,66.44,92.38,1.08,96.66,94.11,1.61
2024,5,10,21,23.02,17.08,13.12,68.75,92.44,1.4,76.74,94.17,2.06
2024,5,10,22,22.4,16.83,12.94,70.31,92.44,1.56,70.66,94.18,2.32
2024,5,10,23,22.04,16.55,12.7,70.62,92.42,1.65,71.22,94.16,2.46
2024,5,11,0,21.67,16.27,12.51,70.94,92.39,1.72,72.06,94.13,2.59
2024,5,11,1,21.42,16.02,12.27,70.94,92.37,1.78,71.01,94.11,2.68
2024,5,11,2,21.23,15.77,12.08,70.62,92.36,1.77,68.2,94.11,2.68
2024,5,11,3,20.97,15.67,12.02,71.31,92.36,1.93,70.18,94.11,3.01
2024,5,11,4,20.72,15.55,11.9,71.88,92.4,2.08,76.07,94.15,3.42
2024,5,11,5,20.58,15.4,11.78,71.81,92.45,2.12,77.86,94.2,3.63
2024,5,11,6,22.35,16.54,12.7,69.19,92.52,2.06,79.71,94.27,3.5
2024,5,11,7,24.69,16.58,12.7,60.19,92.58,3.41,103.4,94.31,4.27
2024,5,11,8,26.29,16.76,12.82,55.44,92.62,3.83,117.82,94.35,4.41
2024,5,11,9,27.8,16.92,13.0,51.31,92.63,3.15,128.55,94.35,3.47
2024,5,11,10,29.19,17.07,13.12,47.88,92.6,2.53,144.44,94.31,2.64
2024,5,11,11,30.31,17.11,13.18,45.06,92.53,2.23,160.8,94.23,2.18
2024,5,11,12,31.06,17.17,13.31,43.38,92.45,2.0,176.19,94.14,1.85
2024,5,11,13,31.46,17.2,13.31,42.5,92.35,1.82,189.91,94.04,1.64
2024,5,11,14,31.56,17.19,13.31,42.25,92.26,1.7,203.51,93.95,1.54
2024,5,11,15,31.15,17.11,13.24,43.0,92.21,1.57,215.67,93.89,1.47
2024,5,11,16,30.43,17.03,13.18,44.56,92.21,1.32,226.2,93.9,1.31
2024,5,11,17,29.51,17.15,13.24,47.25,92.24,0.94,235.78,93.94,1.01
2024,5,11,18,28.26,18.15,14.1,53.94,92.31,0.3,234.64,94.02,0.37
2024,5,11,19,26.72,18.42,14.28,59.94,92.4,0.52,66.12,94.11,0.76
2024,5,11,20,25.45,18.54,14.4,65.06,92.48,1.31,66.8,94.2,1.99
2024,5,11,21,24.52,18.44,14.28,68.38,92.52,1.7,66.73,94.25,2.69
2024,5,11,22,23.83,18.33,14.22,70.81,92.55,1.86,65.92,94.28,2.97
2024,5,11,23,23.33,18.18,14.1,72.38,92.53,1.93,66.44,94.27,3.09
2024,5,12,0,23.08,18.13,14.04,73.25,92.51,1.92,71.05,94.25,3.11
2024,5,12,1,22.87,18.21,14.1,74.56,92.49,1.87,76.49,94.23,3.14
2024,5,12,2,22.68,18.22,14.16,75.56,92.47,1.81,85.79,94.21,3.22
2024,5,12,3,22.37,18.17,14.1,76.81,92.47,1.81,88.52,94.21,3.42
2024,5,12,4,22.06,18.15,14.1,78.25,92.49,1.82,85.07,94.23,3.44
2024,5,12,5,21.79,18.12,14.04,79.38,92.53,1.78,86.97,94.28,3.39
2024,5,12,6,22.44,18.38,14.28,77.5,92.6,2.22,90.4,94.35,3.25
2024,5,12,7,23.65,18.48,14.34,72.31,92.66,2.91,105.27,94.4,3.58
2024,5,12,8,25.03,18.9,14.71,68.31,92.71,3.42,126.09,94.44,3.97
2024,5,12,9,26.35,19.0,14.77,63.5,92.74,3.78,139.53,94.46,4.34
2024,5,12,10,27.67,18.94,14.71,58.56,92.7,4.33,154.78,94.41,4.88
2024,5,12,11,28.62,18.86,14.65,55.19,92.64,4.58,166.27,94.35,5.06
2024,5,12,12,29.19,18.73,14.59,52.94,92.56,4.4,175.62,94.26,4.8
2024,5,12,13,29.36,18.58,14.47,52.0,92.46,4.08,184.73,94.16,4.41
2024,5,12,14,29.05,18.63,14.53,53.12,92.39,3.64,190.13,94.09,3.97
2024,5,12,15,28.67,18.63,14.53,54.25,92.33,3.11,192.33,94.03,3.4
2024,5,12,16,28.29,18.46,14.34,54.88,92.3,2.53,194.46,94.0,2.79
2024,5,12,17,27.44,18.51,14.4,57.81,92.32,1.81,195.78,94.03,2.11
